SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,ATP,Oversold_Flag,Below_Safety_Stock_Flag,Reorder_Flag,Sellable_ATP,Sellable_Coverage_Days,Expired_Flag,Expiry_30_Days_Flag,Dead_Stock_Flag
SKU0001,Pantry Product 13,Pantry,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH2679,2025-07-14,2025-06-01,2027-04-25,57,359,100,36,0,0,28.57,971.0,12.57,51,22,1,5.81,5.71,2084.25,2.39,5.0,70.68,FIFO,In Stock,0,2025-06-26,-7.14,95.67,,223,0,0,0,223,7.81,0,0,0
SKU0002,Fresh Product 112,Fresh Produce,C,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH4257,2025-04-08,2025-02-22,2025-04-11,154,314,64,0,0,1,34.99,796.0,8.97,744,254,14,1.45,1.33,456.71,3.34,12.0,84.61,FEFO,Low Stock,4,2025-08-12,2.15,86.0,,250,0,1,1,250,7.14,1,0,0
SKU0003,Meat Product 446,Meat,B,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH6574,2025-03-15,2025-02-26,2025-04-02,178,485,28,62,3,1,36.55,1.377,13.27,225,79,4,1.86,1.69,902.63,2.26,11.0,85.36,FIFO,Expiring Soon,-5,2025-08-13,6.85,87.64,,395,0,0,0,395,10.81,1,0,0
SKU0004,Seafood Product 48,Seafood,A,S007,PT Bakerindo,WHJKT,Jakarta - Cengkareng,BATCH5333,2025-06-10,2025-04-20,2025-06-18,91,281,92,49,0,0,25.49,716.0,11.02,162,60,4,14.5,14.12,4073.15,2.72,10.0,72.81,FIFO,Expiring Soon,0,2025-07-13,-6.69,71.15,,140,0,0,1,140,5.49,1,0,0
SKU0005,Personal Product 194,Personal Care,A,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH6925,2025-06-26,2025-05-21,2030-01-03,75,235,63,33,0,2,17.05,518.0,13.78,80,29,3,9.46,10.31,2222.91,2.18,2.0,70.93,FIFO,In Stock,-5,2025-06-11,1.23,76.25,High return rate,139,0,0,0,139,8.15,0,0,0
SKU0006,Beverages Product 41,Beverages,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH8428,2025-06-04,2025-04-25,2027-12-25,97,446,66,31,1,1,32.81,1.058,13.59,349,119,7,5.16,5.86,2303.14,2.21,7.0,76.44,FEFO,In Stock,-4,2025-08-20,1.98,71.23,,349,0,0,1,349,10.64,0,0,0
SKU0007,Dairy Product 137,Dairy,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH9751,2025-03-31,2025-02-13,2025-04-12,162,368,87,118,0,0,53.35,1.521,6.9,169,62,2,2.13,2.36,784.87,4.35,13.0,97.82,FIFO,Expiring Soon,0,2025-08-20,7.21,68.44,,163,0,0,1,163,3.06,1,0,0
SKU0008,Meat Product 474,Meat,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH1916,2025-03-18,2025-03-04,2025-04-02,175,135,73,32,0,1,21.71,469.0,6.22,66,23,2,4.89,5.62,660.64,4.82,9.0,93.69,FIFO,Expiring Soon,-5,2025-07-31,-4.66,73.11,,30,0,0,1,30,1.38,1,0,0
SKU0009,Fresh Product 468,Fresh Produce,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH9179,2025-07-17,2025-06-22,2025-07-30,54,1,126,83,0,0,78.76,1.975,14.87,357,121,3,1.33,1.4,1562.93,2.02,22.0,81.41,FEFO,Expiring Soon,1,2025-08-22,3.55,84.52,,-208,1,1,1,0,0.0,1,0,0
SKU0010,Meat Product 288,Meat,C,S009,PT Beverage Nusantara,WHSBY,Surabaya - Sidoarjo,BATCH7543,2025-04-13,2025-03-21,2025-05-01,149,49,12,16,2,0,7.23,176.0,6.78,85,34,7,11.34,11.67,555.45,4.43,9.0,87.13,FIFO,Low Stock,-3,2025-08-23,-4.78,70.6,,21,0,1,1,21,2.9,1,0,0
SKU0011,Fresh Product 25,Fresh Produce,C,S002,PT Indo Fresh,WHBDG,Bandung - Rancaekek,BATCH7916,2025-04-02,2025-02-23,2025-04-07,160,711,4,124,2,2,75.51,2.74,9.42,231,80,2,1.12,1.07,795.61,3.19,27.0,80.85,FIFO,Expiring Soon,0,2025-07-22,-3.49,84.99,,583,0,0,0,583,7.72,1,0,0
SKU0012,Personal Product 271,Personal Care,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH2876,2025-09-07,2025-07-26,2030-07-01,2,66,16,12,1,0,6.86,179.0,9.62,73,25,7,6.85,7.15,452.13,3.12,5.0,80.92,FEFO,Low Stock,2,2025-06-19,-0.15,60.92,,38,0,0,1,38,5.54,0,0,0
SKU0013,Meat Product 81,Meat,C,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH3927,2025-07-04,2025-06-02,2025-07-25,67,443,71,24,0,1,37.28,1.165,11.88,394,133,7,1.66,1.57,736.4,2.52,9.0,95.88,FIFO,Expiring Soon,-4,2025-06-21,1.14,63.69,,348,0,0,1,348,9.33,1,0,0
SKU0014,Pantry Product 312,Pantry,B,S004,PT Nusantara Supplier,WHBDG,Bandung - Rancaekek,BATCH9837,2025-06-06,2025-04-18,2027-05-02,95,130,71,51,0,0,21.21,784.0,6.13,231,83,7,11.19,11.78,1454.61,4.89,10.0,78.95,FIFO,Low Stock,-1,2025-06-25,-8.37,61.05,,8,0,1,1,8,0.38,0,0,0
SKU0015,Fresh Product 476,Fresh Produce,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH4946,2025-07-10,2025-05-15,2025-07-13,61,231,81,42,0,0,29.5,850.0,7.83,314,107,7,1.48,1.49,342.25,3.83,8.0,77.07,FIFO,Low Stock,1,2025-08-30,3.99,88.27,,108,0,0,1,108,3.66,1,0,0
SKU0016,Household Product 390,Household,C,S009,PT Beverage Nusantara,WHBDG,Bandung - Rancaekek,BATCH8787,2025-08-08,2025-06-09,2030-04-20,32,47,11,16,0,0,4.47,101.0,10.51,27,14,3,2.33,2.13,109.53,2.85,2.0,70.51,FIFO,In Stock,0,2025-08-07,1.32,71.83,,20,0,0,1,20,4.47,0,0,0
SKU0017,Pantry Product 494,Pantry,A,S004,PT Nusantara Supplier,WHDPS,Denpasar - Tabanan,BATCH6107,2025-03-17,2025-02-20,2027-05-02,176,197,2,26,0,4,24.4,889.0,8.07,370,126,10,11.52,10.5,2269.74,3.72,4.0,87.28,FEFO,Low Stock,0,2025-07-15,-2.51,85.03,,169,0,0,1,169,6.93,0,0,0
SKU0018,Frozen Product 127,Frozen,A,S004,PT Nusantara Supplier,WHJKT,Jakarta - Cengkareng,BATCH4770,2025-06-15,2025-05-09,2025-12-17,86,484,22,107,0,0,29.62,736.0,16.34,447,151,10,7.58,8.38,3669.49,1.84,10.0,80.28,FIFO,In Stock,-5,2025-09-09,3.03,74.34,Seasonal SKU,355,0,0,1,355,11.99,0,0,0
SKU0019,Meat Product 464,Meat,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH4899,2025-08-22,2025-08-05,2025-09-12,18,41,6,2,3,0,3.49,95.0,11.75,24,10,4,11.33,13.01,464.73,2.55,3.0,92.26,FEFO,Expiring Soon,4,2025-08-13,-1.75,95.37,,33,0,0,0,33,9.46,0,1,0
SKU0020,Beverages Product 452,Beverages,B,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH8749,2025-05-11,2025-03-21,2027-09-20,121,1,182,197,0,0,90.45,2.685,15.21,416,145,3,1.0,1.12,1382.05,1.97,22.0,87.77,FEFO,In Stock,0,2025-08-16,-2.9,78.73,Fragile,-378,1,1,1,0,0.0,0,0,0
SKU0021,Seafood Product 211,Seafood,B,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH1993,2025-03-21,2025-02-24,2025-03-25,172,123,17,11,0,0,7.17,162.0,17.15,83,33,7,9.2,8.45,1131.37,1.75,6.0,81.1,FEFO,Expiring Soon,0,2025-08-27,6.44,97.49,,95,0,0,0,95,13.25,1,0,0
SKU0022,Dairy Product 230,Dairy,C,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH8579,2025-07-25,2025-07-10,2025-08-09,46,87,87,0,3,1,47.3,1.49,1.84,217,75,3,1.07,0.99,92.85,16.31,15.0,95.62,FIFO,Low Stock,0,2025-07-15,-7.65,96.56,,0,0,1,1,0,0.0,1,0,0
SKU0023,Household Product 51,Household,B,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4872,2025-09-06,2025-08-27,2027-03-16,3,210,38,30,1,2,19.3,661.0,10.88,407,137,14,4.86,4.58,1020.62,2.76,5.0,75.01,FEFO,Low Stock,-2,2025-07-09,-5.66,94.78,,142,0,0,1,142,7.36,0,0,0
SKU0024,Household Product 463,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH7396,2025-06-04,2025-05-19,2026-06-08,97,58,9,1,2,1,8.38,196.0,6.92,39,14,3,13.11,12.72,760.58,4.33,5.0,95.86,FEFO,In Stock,-2,2025-08-04,-1.78,62.9,,48,0,0,0,48,5.73,0,0,0
SKU0025,Personal Product 402,Personal Care,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5861,2025-08-01,2025-07-19,2027-08-24,39,77,7,9,0,2,4.96,141.0,15.52,31,16,3,13.92,15.91,1072.16,1.93,1.0,95.51,FIFO,In Stock,0,2025-06-27,6.84,70.39,,61,0,0,0,61,12.3,0,0,0
SKU0026,Fresh Product 161,Fresh Produce,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH9238,2025-04-13,2025-02-14,2025-04-23,149,801,163,83,1,1,79.98,2.569,10.01,361,121,3,2.09,2.38,1672.81,3.0,20.0,85.35,FIFO,Expiring Soon,1,2025-09-02,2.12,73.61,,555,0,0,0,555,6.94,1,0,0
SKU0027,Fresh Product 96,Fresh Produce,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4853,2025-08-23,2025-07-29,2025-09-05,17,470,138,111,1,1,44.01,1.032,10.68,205,73,3,2.0,2.18,939.58,2.81,14.0,81.57,FIFO,Expiring Soon,0,2025-06-29,2.41,60.55,,221,0,0,0,221,5.02,1,0,0
SKU0028,Pantry Product 318,Pantry,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9565,2025-03-25,2025-03-05,2029-07-02,168,293,4,27,2,0,27.22,948.0,10.76,166,57,4,6.73,7.23,1972.15,2.79,8.0,87.25,FEFO,In Stock,4,2025-08-14,5.93,62.52,,262,0,0,0,262,9.63,0,0,0
SKU0029,Seafood Product 136,Seafood,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH8491,2025-03-22,2025-03-02,2025-03-29,171,259,23,53,0,2,21.23,579.0,12.2,98,34,3,7.2,7.57,1865.81,2.46,8.0,84.19,FIFO,Expiring Soon,0,2025-09-08,-5.52,61.21,,183,0,0,0,183,8.62,1,0,0
SKU0030,Personal Product 52,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5345,2025-07-17,2025-07-09,2029-05-18,54,112,12,22,0,2,13.28,458.0,8.43,287,101,14,17.29,17.65,1936.29,3.56,6.0,83.2,FEFO,Low Stock,-2,2025-09-01,2.37,61.39,,78,0,1,1,78,5.87,0,0,0
SKU0031,Bakery Product 81,Bakery,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH9666,2025-03-13,2025-03-13,2025-03-17,180,134,11,16,3,1,19.25,570.0,6.96,30,11,1,2.36,2.33,316.8,4.31,10.0,79.75,FEFO,Expiring Soon,-3,2025-06-17,-0.52,82.2,High return rate,107,0,0,0,107,5.56,1,0,0
SKU0032,Meat Product 456,Meat,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5616,2025-08-01,2025-06-24,2025-08-14,39,17,1,6,4,1,2.29,89.0,7.42,11,9,1,11.3,12.71,192.16,4.04,3.0,94.1,FIFO,Expiring Soon,0,2025-07-28,-8.4,64.26,,10,0,0,1,10,4.37,1,0,0
